,county_name,zip,lat,lng,city,state_name,avg_risk_score_all,MercatorX,MercatorY
92,Berkshire,1247,42.69813,-73.09264,North Adams,Massachusetts,2.77,-8136635.46553606,5266136.44741966
93,Berkshire,1253,42.20751,-73.1118,Otis,Massachusetts,1.95,-8138768.346979658,5192114.297169916
94,Berkshire,1254,42.37972,-73.36608,Richmond,Massachusetts,1.53,-8167074.6670985725,5218030.4670077935
95,Berkshire,1255,42.1068,-73.12213,Sandisfield,Massachusetts,2.07,-8139918.277319552,5176991.015754478
96,Berkshire,1256,42.59627,-73.01958,Savoy,Massachusetts,1.71,-8128502.4635387035,5250720.536350492
97,Berkshire,1257,42.0976,-73.37241,Sheffield,Massachusetts,1.74,-8167779.319475294,5175610.68125341
98,Berkshire,1258,42.09396,-73.46616,South Egremont,Massachusetts,1.79,-8178215.521737163,5175064.604197088
99,Berkshire,1259,42.07316,-73.23282,Southfield,Massachusetts,1.94,-8152240.231755461,5171944.76490383
100,Berkshire,1260,42.26663,-73.2712,South Lee,Massachusetts,2.03,-8156512.673812106,5201003.380290693
101,Berkshire,1262,42.30433,-73.32013,Stockbridge,Massachusetts,1.7,-8161959.5364966225,5206676.17803692
102,Berkshire,1264,42.23997,-73.19686,Tyringham,Massachusetts,2.63,-8148237.182866534,5196993.841937342
103,Berkshire,1266,42.30264,-73.39846,West Stockbridge,Massachusetts,2.23,-8170679.192210459,5206421.807508226
104,Berkshire,1267,42.66593,-73.24209,Williamstown,Massachusetts,2.59,-8153272.163435115,5261260.437570825
105,Berkshire,1270,42.51297,-73.04859,Windsor,Massachusetts,1.77,-8131731.841966617,5238132.291935607
106,Franklin,1301,42.62375,-72.60379,Greenfield,Massachusetts,1.77,-8082216.932461767,5254876.9870529985
107,Franklin,1330,42.51772,-72.81556,Ashfield,Massachusetts,1.93,-8105791.061027059,5238849.657535062
108,Worcester,1331,42.56793,-72.18324,Athol,Massachusetts,2.16,-8035401.520608656,5246435.926863989
